6011000990139424,69 
374245455400126,50
378282246310005,19
5011054488597827,24
6271701225979642,700
6034932528973614,420
6250941006528599,5000
60115564485789458,333
6011000991300009,9999	
6362970000457013,50
6062826786276634,120
3566000020000410,139
3530111333300000,811
5425233430109903,2209
2222420000001113,2010
2223000048410010,2023
5895626746595650,1821
5200533989557118,1922
6034883265619896,777
4263982640269299,1717
4917484589897107,3535
4001919257537193,200
4007702835532454,888
4701322211111234,30	
4347699988887777,12
